,Children_Poverty_Rate,E1,E2,E3,E4,E5,E6,HD1,HD2,L1,L2,O,P1,P2,P3,Q,Component 1,Component 2,Component 3,Segment K-means PCA,Segment,New Code
240,43.3,11.10889906,62.23630998,67.2,12.15787086,59.02255639,54.83870968,8.3,6.5,81.43926767,78.20069803,43.61111111,21.9330855,68.7732342,9.293680297,9.3,0.7897474010392117,-0.07665908367232206,-0.029233697162326152,0,first,E05000265
241,10.7,2.694480661,76.65345554,77.0,5.568685377,72.74692763,33.46153846,4.4,3.6,82.54898037,80.58319863,7.666666667,20.50209205,68.61924686,10.87866109,5.1,-0.6388280098954655,0.1197883202898296,-0.04185649791252767,1,second,E05000266
242,31.7,7.07384403,68.95784898,73.1,10.40537051,65.51496271,47.56493506,6.8,5.5,79.38154022,76.7954586,27.70491803,18.14946619,72.24199288,9.252669039,7.8,0.26281103430848735,0.1874679322089178,-0.1032076420047977,0,first,E05000267
243,36.5,9.877446497,61.82108626,67.3,12.67546908,58.80756271,46.13402062,7.5,6.4,80.09573419,77.19315551,34.55696203,21.69491525,69.49152542,8.474576271,9.9,0.6373436923622972,-0.05279429813134938,0.025050860676103896,0,first,E05000268
244,8.8,1.565187479,80.8604227,81.9,5.01409832,77.76774064,26.94063927,3.8,3.0,82.8359965,80.59101103,8.0,16.33466135,74.10358566,9.561752988,4.4,-0.8252843692025079,0.43558705517789753,-0.10323614302476428,1,second,E05000269
245,13.5,3.117085525,75.93096111,76.8,5.829660173,72.31138771,34.31372549,5.0,3.5,81.96576344,80.42732556,11.77419355,19.921875,68.75,11.328125,4.8,-0.5490741454015087,0.1154606039621714,-0.07773245364593916,1,second,E05000270
246,29.1,4.935112411,71.79984484,75.4,8.390410959,69.03862107,46.41025641,5.9,5.3,80.98684119,78.1013418,29.11111111,15.32846715,77.00729927,7.664233577,10.2,0.07325747869359006,0.4748406124297687,-0.02875782272958015,0,first,E05000271
247,10.7,2.378686965,78.97278831,79.2,4.62594372,75.52994891,41.02564103,4.6,3.4,84.10632914,80.88099994,10.0,15.18987342,72.99578059,12.23628692,6.0,-0.7091200401052858,0.3258854113346784,-0.012117849703251783,1,second,E05000272
248,29.6,5.993301604,72.40270183,76.3,9.302325581,69.16565901,47.58364312,6.6,5.7,80.1485638,77.13358685,27.22222222,17.82945736,73.64341085,8.527131783,6.0,0.12115358151725078,0.3027537053284933,-0.1871613148949379,0,first,E05000273
249,8.8,2.203918077,78.41631356,78.3,5.111624326,74.33361476,31.50684932,4.8,3.3,83.18180975,80.75990018,6.739130435,17.43119266,69.72477064,12.8440367,4.7,-0.7644439809988547,0.1542505978765883,-0.04896520652978499,1,second,E05000274
250,41.6,9.823040809,63.20063379,68.3,11.94780481,60.15973254,54.39783491,8.7,7.4,81.0271636,77.36363919,36.25,18.1184669,73.51916376,8.362369338,11.6,0.7191920268547145,0.11108926692072336,0.030920444416402855,0,first,E05000275
251,46.9,14.84708393,52.33784216,61.8,19.40996292,49.79579639,58.0861244,8.1,7.2,79.11497896,75.08048345,40.10869565,25.42372881,66.77966102,7.796610169,9.1,1.3125618503056622,-0.3261890801568546,0.09596796726878408,0,first,E05000276
252,33.3,6.394707828,65.61625956,69.7,10.48863208,62.38837331,44.78764479,7.8,6.6,79.23720681,75.42193943,30.0,17.85714286,74.02597403,8.116883117,10.3,0.4144216638028605,0.196099641939209,-0.02106638887471061,0,first,E05000277
253,25.2,8.136813681,63.65458015,68.5,11.12856769,60.91716773,53.65853659,6.6,5.6,79.82868298,76.89853277,23.53535354,26.15384615,66.46153846,7.384615385,9.0,0.3780639256108139,-0.12002608284889267,0.018685370977444195,0,first,E05000278
254,23.4,4.071442289,77.26015271,79.7,6.581376945,74.47166439,44.64285714,5.5,4.6,81.49929733,80.43277447,21.77777778,15.83333333,76.66666667,7.5,5.9,-0.2579993097358348,0.5194263182033496,-0.13877843769430293,1,second,E05000279
255,40.4,9.282700422,61.28939277,68.1,14.42713833,58.28463544,49.67490247,8.4,7.4,79.32658764,76.12590136,35.49295775,20.26143791,71.56862745,8.169934641,11.0,0.7833409223305693,0.017396433476488733,0.006166677444994863,0,first,E05000280
256,41.3,12.35141159,56.30203291,63.0,14.80894016,53.66518303,49.84326019,7.2,6.3,79.62373526,76.51860149,37.41176471,22.15384615,69.84615385,8.0,14.7,0.9444917341742642,-0.10231516322425491,0.19554843823668358,0,first,E05000281
257,37.9,8.246828143,63.30866808,68.2,12.38479263,59.79361179,50.1650165,8.2,7.0,81.19403063,77.83883953,34.35483871,18.54545455,71.27272727,9.818181818,9.7,0.5792175722949392,0.014625340505030678,0.04529510632705869,0,first,E05000282
258,44.2,14.58506224,54.82598608,61.2,15.24465642,51.90393769,52.84810127,9.3,7.8,78.34591759,75.32866427,39.31034483,25.18248175,66.42335766,8.394160584,8.6,1.1668291247973768,-0.35298413221215896,-0.003961723332189244,0,first,E05000283
