,New Code,Children in Poverty; % of children aged under 16 in poverty; 2011,Employment; Adults not in Employment - 2011 Census; % of households with no adults in employment with dependent children,Employment; Economic Activity (Percentages) - 2011 Census; Employment rate (16-64),Employment; Economic Activity (Percentages) - 2011 Census; Economically active %,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % Unemployed,Employment; Economic Activity (Percentages) - 2011 Census; Employment rate (16-74),Employment; Lone Parent Not in Employment - 2011 Census; Lone parent not in employment %,Health and Disability; General Health - 2011 Census; % People whose Day-to-day activities are limited a lot,Health and Disability; General Health - 2011 Census; % People with Bad or Very Bad Health,Life Expectancy; Life expectancy at birth (all persons); 2007-2011,Life Expectancy; Male life expectancy; 2007-2011,Out-of-Work Families; Rates children (0-18) living in Out-of-work Benefit Claimant Households; 2011,Population and Age; Age structure (percentage) - 2013; Aged 0-15,Population and Age; Age structure (percentage) - 2013; Aged 16-64,Population and Age; Age structure (percentage) - 2013; Aged 65+,Qualifications; Qualifications and Students - 2011 Census; % of 16+ who are schoolchildren and full-time students: Age 18 and over
552,E05000577,34.3,6.907566381,66.33474576,71.0,10.32830774,63.69732759,54.35294118,6.9,5.8,79.65848357,78.00328165,33.50877193,19.17293233,72.93233083,7.894736842,11.7
553,E05000578,46.5,12.41017673,55.09410802,64.2,17.12934716,53.17607908,64.3115942,7.1,6.8,80.22353418,77.66588339,41.33333333,24.92668622,69.79472141,5.278592375,12.5
554,E05000579,48.8,13.70983077,52.85743759,62.6,18.63714869,50.90873367,64.16791604,8.6,7.7,77.40700077,74.47559147,43.75,26.6025641,66.98717949,6.41025641,9.7
555,E05000580,43.7,9.291338583,63.97271057,70.4,12.27110583,61.79747047,61.80555556,6.8,6.2,77.19325255,76.24232688,41.68674699,22.12121212,72.12121212,6.060606061,8.4
556,E05000581,45.3,8.127802691,55.3975265,62.4,13.93041587,53.71045713,61.48148148,6.5,5.9,77.47427389,74.38110393,36.30136986,18.35443038,75.63291139,6.329113924,24.3
557,E05000582,46.1,10.58747579,56.07993197,64.8,16.29734402,54.20313454,63.48448687,7.2,6.5,78.51594273,76.28693017,40.67567568,22.80701754,71.57894737,5.614035088,14.8
558,E05000583,38.3,4.796229554,73.62478596,78.5,8.120310736,72.10671669,58.75420875,3.7,3.3,82.6089904,80.29684189,28.43373494,16.22718053,80.12170385,3.651115619,8.9
559,E05000584,44.1,9.095661265,55.39607558,62.8,15.51606288,53.07454483,65.23809524,9.3,7.9,77.33786568,74.47235016,39.23076923,22.82282282,69.36936937,8.108108108,13.2
560,E05000585,31.2,3.030810449,76.49598394,79.3,6.238621192,74.32172407,50.56818182,5.1,4.4,81.07918085,79.61592679,28.97435897,14.28571429,79.53667954,6.563706564,6.6
561,E05000586,47.2,8.478073947,60.6741573,67.0,12.82356049,58.43144198,64.08450704,7.2,6.5,78.95241199,75.82161262,37.84810127,22.65372168,71.197411,6.148867314,10.7
562,E05000587,37.3,4.820512821,60.86694762,68.2,13.57857264,58.97050318,75.6302521,6.5,6.5,78.61517955,76.66931206,36.0,14.02714932,80.99547511,5.429864253,16.7
563,E05000588,45.6,6.962138884,66.99029126,72.7,11.00276716,64.66870931,62.98342541,7.8,6.7,78.17923903,74.89319484,43.01886792,16.60777385,76.67844523,6.713780919,9.6
564,E05000589,41.3,6.244609281,64.96980155,70.1,10.43786982,62.8258343,69.6,6.3,6.0,77.89646769,74.27392035,37.54385965,16.77018634,77.95031056,5.279503106,14.7
565,E05000590,31.4,7.497995188,63.79187455,70.0,12.64620889,61.13839931,46.24505929,6.3,5.1,78.42364168,77.03408935,28.85714286,21.75438596,70.87719298,7.368421053,14.1
566,E05000591,34.7,8.874172185,62.66447368,69.8,13.85004463,60.1474865,54.59662289,6.9,5.3,79.45836818,77.22619265,30.15625,21.59090909,71.21212121,7.196969697,12.6
567,E05000592,25.6,6.23766285,68.94208656,72.5,9.103279358,65.86472096,44.971537,5.6,4.1,82.9143501,79.865479,22.27848101,24.13793103,67.24137931,8.620689655,7.9
568,E05000593,21.7,3.760913365,73.41365462,70.0,6.576097657,65.40317023,41.77631579,8.8,5.5,81.89576901,80.41366561,20.68181818,17.53554502,60.18957346,22.27488152,3.7
569,E05000594,22.9,4.59824603,70.39017341,69.8,8.029861617,64.18858813,44.40993789,7.2,5.1,84.43662636,81.73726512,18.62745098,17.64705882,64.70588235,17.64705882,4.6
570,E05000595,20.4,5.179558011,65.1511783,68.5,10.33599518,61.46457344,51.01351351,6.9,5.3,80.76578333,78.84693986,18.52459016,19.84732824,70.22900763,9.541984733,10.1
571,E05000596,21.1,4.214559387,70.34118302,74.9,9.812206573,67.52196837,42.47491639,5.1,4.3,81.82515889,79.78568636,17.23076923,20.4620462,71.94719472,7.590759076,10.6
572,E05000597,24.3,5.355008367,71.1001203,72.7,7.968934661,66.87523003,44.8,6.5,4.4,83.41352921,79.79999315,21.11111111,21.33891213,66.52719665,12.13389121,5.3
573,E05000598,27.0,5.753485284,69.88054608,69.9,8.070048745,64.23615491,47.36842105,9.2,6.4,80.40043665,78.62807296,25.74074074,19.82378855,63.87665198,16.29955947,4.1
574,E05000599,26.6,5.52854313,69.41907908,73.2,9.204073934,66.46723122,49.01477833,6.2,4.7,82.09314496,80.21779861,27.03125,20.81911263,71.33105802,7.849829352,9.0
575,E05000600,35.7,9.477796053,62.58928571,68.1,12.60997067,59.53732913,51.91637631,7.7,6.0,79.29981935,75.55163407,33.02631579,24.18772563,67.8700361,7.942238267,8.1
576,E05000601,28.2,6.073472402,66.11002971,71.8,12.0515921,63.10614094,52.06971678,7.2,5.6,79.08485465,77.52614715,23.67647059,21.875,69.79166667,8.680555556,8.4
577,E05000602,26.8,5.931251404,69.57470011,70.0,8.717679944,63.93001346,44.78935698,8.8,5.9,82.1647451,79.98553701,24.46428571,19.91525424,64.40677966,15.6779661,5.1
578,E05000603,29.3,7.78988744,62.83911078,68.4,12.46934297,59.8446739,46.88057041,7.1,5.9,76.87028776,74.71333809,27.5862069,24.53416149,67.39130435,8.074534161,9.3
579,E05000604,36.4,9.468023814,61.45908575,67.8,13.80789022,58.48123363,49.32533733,7.0,5.8,80.35316517,79.23059902,30.625,23.64864865,68.58108108,7.77027027,10.7
580,E05000605,22.5,3.80952381,70.26117119,75.1,9.668651307,67.82972106,42.49201278,6.0,4.1,79.35310611,78.99250001,18.84615385,16.85393258,75.28089888,7.865168539,9.5
581,E05000606,30.9,7.730263158,64.19543282,68.0,10.22743947,61.06397844,49.33920705,6.6,5.3,79.94488428,78.77169605,27.16216216,23.63013699,68.15068493,7.876712329,9.0
582,E05000607,29.3,6.29775411,68.11807132,69.3,8.973463687,63.0471584,46.46017699,7.8,5.6,81.29093034,79.09790324,25.76271186,20.76271186,65.6779661,13.98305085,6.1
